   1.000000000000000E+000,   0.000000000000000E+000,   9.972481904420712E-001,   9.972481904420712E-001,   9.972481904420712E-001,   3.096539975563975E-003,   3.096810839135439E-003,   3.096810839135439E-003,   9.999773243083834E-001,   9.999773243083834E-001,   9.999773243083834E-001,   9.917706926724067E-001,   9.917706893080424E-001,   9.917706893080424E-001,   1.704217660253068E-005,   1.704515819278865E-005,   1.704515819278865E-005,   9.972513954482446E-001,   9.972513960089721E-001,   9.972513960089721E-001
   1.004526688920765E+000,   1.815619749362478E+000,   9.972356992314897E-001,   9.301192820181921E-001,   9.343296426670941E-001,   3.110557048764068E-003,   3.096772076429882E-003,   3.110790200278392E-003,   9.999771181698113E-001,   9.035066762615025E-001,   9.075965699227730E-001,   9.917334565839159E-001,   9.833238725263329E-001,   9.877750738056219E-001,   1.719703048078773E-005,   1.827489007205592E-005,   1.835761481447330E-005,   9.972389333599782E-001,   9.301227188523984E-001,   9.343330950587797E-001
   1.009073868754116E+000,   2.568314540642016E+000,   9.972231511611460E-001,   9.024205887657704E-001,   9.106090347492434E-001,   3.124637572894118E-003,   3.096733137607897E-003,   3.124832487665074E-003,   9.999769101555275E-001,   8.659491315799205E-001,   8.738066403476177E-001,   9.916960520787221E-001,   9.753422497302566E-001,   9.841923772946535E-001,   1.735329243226101E-005,   1.883534173044378E-005,   1.900625114924475E-005,   9.972264146767561E-001,   9.024241310003061E-001,   9.106126091255503E-001
   1.013641632256040E+000,   3.146311506998584E+000,   9.972105459707632E-001,   8.812393865168267E-001,   8.932609301572273E-001,   3.138781835176746E-003,   3.096694021866302E-003,   3.138937982922079E-003,   9.999767002484399E-001,   8.380228919014988E-001,   8.494548920149620E-001,   9.916584783957147E-001,   9.676506120496453E-001,   9.808509458515584E-001,   1.751097527405859E-005,   1.928757502047636E-005,   1.955068902601647E-005,   9.972138391407123E-001,   8.812430137997994E-001,   8.932646069222604E-001
   1.018230072602400E+000,   3.633946512746273E+000,   9.971978833988588E-001,   8.634435302580785E-001,   8.791841685027555E-001,   3.152990124134739E-003,   3.096654728398227E-003,   3.153106968921490E-003,   9.999764884313010E-001,   8.150607245855958E-001,   8.299193407701556E-001,   9.916207347703483E-001,   9.601869299119006E-001,   9.776912073560697E-001,   1.767009194014461E-005,   1.968459875108345E-005,   2.004345041546480E-005,   9.972012064927964E-001,   8.634472322066025E-001,   8.791879379380698E-001
   1.022839283390839E+000,   4.063876932477549E+000,   9.971851631827404E-001,   8.478182797118081E-001,   8.671818416660798E-001,   3.167262729596943E-003,   3.096615256393087E-003,   3.167339729786245E-003,   9.999762746867054E-001,   7.952583516290446E-001,   8.134214824908319E-001,   9.915828204346288E-001,   9.529155154024631E-001,   9.746794229062674E-001,   1.783065548240729E-005,   2.004687389810400E-005,   2.050473013216321E-005,   9.971885164727708E-001,   8.478220497909534E-001,   8.671856978511311E-001
   1.027469358642688E+000,   4.452846752742191E+000,   9.971723850584993E-001,   8.337398840291352E-001,   8.566421839182448E-001,   3.181599942704163E-003,   3.096575605036587E-003,   3.181636550895536E-003,   9.999760589970882E-001,   7.776921321350466E-001,   7.990548362262611E-001,   9.915447346170966E-001,   9.458123859658686E-001,   9.717932456046616E-001,   1.799267907173663E-005,   2.038486008497915E-005,   2.094481911753445E-005,   9.971757688192033E-001,   8.337437176710426E-001,   8.566461228678366E-001
   1.032120392804882E+000,   4.810799876662338E+000,   9.971595487610045E-001,   8.208373600154273E-001,   8.472029784480453E-001,   3.196002055915111E-003,   3.096535773510677E-003,   3.195997718890209E-003,   9.999758413447253E-001,   7.618143579528384E-001,   7.862841343746827E-001,   9.915064765428118E-001,   9.388600013302270E-001,   9.690165533617460E-001,   1.815617599911218E-005,   2.070475161127843E-005,   2.136979636596021E-005,   9.971629632694631E-001,   8.208412538171570E-001,   8.472069973202160E-001
   1.036792480751888E+000,   5.144213474125059E+000,   9.971466540238980E-001,   8.088687006811101E-001,   8.386289867817245E-001,   3.210469363012365E-003,   3.096495760993552E-003,   3.210423521678211E-003,   9.999756217117297E-001,   7.472687873728017E-001,   7.747626598487022E-001,   9.914680454333384E-001,   9.320448194054824E-001,   9.663370604833555E-001,   1.832115967670055E-005,   2.101057245281466E-005,   2.178360353537099E-005,   9.971500995597141E-001,   8.088726519964842E-001,   8.386330834757935E-001
   1.041485717787641E+000,   5.457585316238162E+000,   9.971337005795875E-001,   7.976656046797084E-001,   8.307573348443585E-001,   3.225002159108370E-003,   3.096455566659634E-003,   3.224914248440045E-003,   9.999754000800515E-001,   7.338083959068716E-001,   7.642509639296655E-001,   9.914294405067284E-001,   9.253559819834056E-001,   9.637450391050743E-001,   1.848764363896324E-005,   2.130510973371117E-005,   2.218896750355862E-005,   9.971371774249093E-001,   7.976696113867044E-001,   8.307615077724703E-001
   1.046200199647485E+000,   5.754189255210644E+000,   9.971206881592416E-001,   7.871053845155461E-001,   8.234698104237752E-001,   3.239600740651451E-003,   3.096415189679544E-003,   3.239470189634245E-003,   9.999751764314759E-001,   7.212536278563132E-001,   7.545756894597481E-001,   9.913906609775063E-001,   9.187845356908597E-001,   9.612325646727996E-001,   1.865564154377445E-005,   2.159038722357587E-005,   2.258786742377160E-005,   9.971241965987860E-001,   7.871094448727383E-001,   8.234740583702802E-001
