  -5.020763439490231E+008,   7.399199999999996E+007,  -1.136577063193687E+000,   5.333442859077449E-004,   3.000000000000000E+004,   3.000000000000000E+004,   2.141984467605346E+008,   0.000000000000000E+000,   5.943499862082981E+014,   6.324835077932304E+010,   0.000000000000000E+000,   8.237946406264928E-255,   2.226195421528008E-257,   0.000000000000000E+000,   4.101779697578158E+008,   5.542476192212515E+004,   9.521520112087870E-005,   0.000000000000000E+000,   9.334528842706979E+003
  -5.016103444927261E+008,   7.444591296005979E+007,  -1.135156341864695E+000,   5.234019967491896E-004,   3.000000000000000E+004,   3.000000000000000E+004,   2.456468667825678E+008,   0.000000000000000E+000,   2.474119650409179E+014,   3.340662693239523E+010,   0.000000000000000E+000,   9.208390559536176E-252,   1.230812611422117E-256,   0.000000000000000E+000,   4.073026323336111E+008,   5.503606880314286E+004,   3.963438869542239E-005,  -0.000000000000000E+000,   7.314860708078967E+003
  -5.011431403755090E+008,   7.490091251025514E+007,  -1.133735620535703E+000,   5.136791742074370E-004,   3.000000000000000E+004,   3.000000000000000E+004,   3.083302946639323E+008,   0.000000000000000E+000,   1.105363876957557E+014,   3.152533806570839E+010,   0.000000000000000E+000,   9.394905085731219E-252,   1.358971522855143E-256,   0.000000000000000E+000,   4.044240741710681E+008,   5.464694271207824E+004,   1.770481543661147E-005,  -0.000000000000000E+000,   3.459864688649609E+003
  -5.006747345106925E+008,   7.535699497701487E+007,  -1.132314899206710E+000,   5.041702529951939E-004,   3.000000000000000E+004,   3.000000000000000E+004,   7.951462810618017E+008,   0.000000000000000E+000,   7.951462810618017E+008,   3.050141494801579E+010,   0.000000000000000E+000,   9.578948087532006E-252,   1.581222783452880E-256,   0.000000000000000E+000,   4.015427870825513E+008,   5.425745013790760E+004,  -4.696415415042452E-009,   1.608046348721480E-019,   1.748374179716709E+001
  -5.002051298179806E+008,   7.581415667802432E+007,  -1.130894177877718E+000,   4.948698268131738E-004,   2.600000000000000E+004,   2.600000000000000E+004,   4.915832015636070E+009,   0.000000000000000E+000,   4.915832015636070E+009,   0.000000000000000E+000,   0.000000000000000E+000,   7.088111931181936E-219,   3.741957654815819E-222,   0.000000000000000E+000,   3.925072461660963E+008,   5.417063260722781E+004,   1.512310965483765E-009,  -1.603951479777451E-019,   2.308483491568397E+001
  -4.997343292234297E+008,   7.627239392225555E+007,  -1.129473456548726E+000,   4.857726433057563E-004,   2.600000000000000E+004,   2.600000000000000E+004,   4.921555312275602E+009,   0.000000000000000E+000,   4.921555312275602E+009,   0.000000000000000E+000,   0.000000000000000E+000,   7.420225153129484E-219,   3.885965446296637E-222,   0.000000000000000E+000,   3.896665149749771E+008,   5.377833842676326E+004,   1.514600110079072E-009,  -0.000000000000000E+000,   2.329645253025392E+001
  -4.992623356594211E+008,   7.673170300999689E+007,  -1.128052735219734E+000,   4.768735991924601E-004,   2.600000000000000E+004,   2.600000000000000E+004,   4.927380284256498E+009,   0.000000000000000E+000,   4.927380284256498E+009,   0.000000000000000E+000,   0.000000000000000E+000,   7.768257649057465E-219,   4.040785835780094E-222,   0.000000000000000E+000,   3.868245386570920E+008,   5.338587588854264E+004,   1.516922034563892E-009,   2.343683999568568E-034,   2.351179063409075E+001
  -4.987891520646294E+008,   7.719208023288275E+007,  -1.126632013890742E+000,   4.681677355685363E-004,   2.600000000000000E+004,   2.600000000000000E+004,   4.933308611488800E+009,   0.000000000000000E+000,   4.933308611488800E+009,   0.000000000000000E+000,   0.000000000000000E+000,   8.132432347046557E-219,   4.207181326924659E-222,   0.000000000000000E+000,   3.839817932965954E+008,   5.299331073833426E+004,   1.519277200953123E-009,  -2.343683999568568E-034,   2.373091088409263E+001
  -4.983147813839958E+008,   7.765352187392370E+007,  -1.125211292561750E+000,   4.596502333682922E-004,   2.600000000000000E+004,   2.600000000000000E+004,   4.939342006686801E+009,   0.000000000000000E+000,   4.939342006686801E+009,   0.000000000000000E+000,   0.000000000000000E+000,   8.513030304550413E-219,   4.386005550518792E-222,   0.000000000000000E+000,   3.811387522034453E+008,   5.260070833659668E+004,   1.521666082217842E-009,  -0.000000000000000E+000,   2.395387609875479E+001
  -4.978392265686959E+008,   7.811602420753644E+007,  -1.123790571232758E+000,   4.513164089850065E-004,   2.600000000000000E+004,   2.600000000000000E+004,   4.945482215353263E+009,   0.000000000000000E+000,   4.945482215353263E+009,   0.000000000000000E+000,   0.000000000000000E+000,   8.910409219463091E-219,   4.578228899962236E-222,   0.000000000000000E+000,   3.782958856305788E+008,   5.220813361922863E+004,   1.524089162325567E-009,  -0.000000000000000E+000,   2.418075027739119E+001
  -4.973624905761119E+008,   7.857958349957369E+007,  -1.122369849903766E+000,   4.431617100415631E-004,   2.600000000000000E+004,   2.600000000000000E+004,   4.951731016007278E+009,   0.000000000000000E+000,   4.951731016007278E+009,   0.000000000000000E+000,   0.000000000000000E+000,   9.325028032407615E-219,   4.784972380800431E-222,   0.000000000000000E+000,   3.754536604939232E+008,   5.181565105918847E+004,   1.526546936358135E-009,  -0.000000000000000E+000,   2.441159862633889E+001
  -4.968845763698018E+008,   7.904419600735469E+007,  -1.120949128574774E+000,   4.351817113061345E-004,   2.600000000000000E+004,   2.600000000000000E+004,   4.958090220393444E+009,   0.000000000000000E+000,   4.958090220393444E+009,   0.000000000000000E+000,   0.000000000000000E+000,   9.757479413387885E-219,   5.007552631236012E-222,   0.000000000000000E+000,   3.726125401035022E+008,   5.142332462901931E+004,   1.529039910621819E-009,   2.343683999568568E-034,   2.464648758538101E+001
